team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_variance_values
Los Angeles Kings,26,Regular Season,2,Other,0,0,2009,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3791.0,1,0,0,0,82,46,low_danger_chances_for,-11.099999999999909
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2009,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3758.0,1,0,0,0,82,50,low_danger_chances_for,29.90000000000009
San Jose Sharks,28,Regular Season,2,Other,0,0,2009,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3755.0,1,0,0,0,82,51,low_danger_chances_for,87.90000000000009
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2009,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3778.0,1,0,0,0,82,32,low_danger_chances_for,-218.0999999999999
Minnesota Wild,30,Regular Season,2,Other,0,0,2009,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3776.0,1,0,0,0,82,38,low_danger_chances_for,-70.09999999999991
New Jersey Devils,1,Regular Season,2,Other,0,0,2010,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,4000.0,1,0,0,0,82,38,low_danger_chances_for,-3.3333333333332575
New York Islanders,2,Regular Season,2,Other,0,0,2010,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,3783.0,1,0,0,0,82,30,low_danger_chances_for,-217.33333333333326
New York Rangers,3,Regular Season,2,Other,0,0,2010,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3864.0,1,0,0,0,82,44,low_danger_chances_for,-351.33333333333326
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2010,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3780.0,1,0,0,0,82,47,low_danger_chances_for,34.66666666666674
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2010,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3707.0,1,0,0,0,82,49,low_danger_chances_for,131.66666666666674
Boston Bruins,6,Regular Season,2,Other,0,0,2010,3.8333333333333333,100,77,6,0.77,0.077922076,3929.0,1,0,0,0,82,46,low_danger_chances_for,195.66666666666674
Buffalo Sabres,7,Regular Season,2,Other,0,0,2010,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3856.0,1,0,0,0,82,43,low_danger_chances_for,66.66666666666674
Montreal Canadiens,8,Regular Season,2,Other,0,0,2010,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3776.0,1,0,0,0,82,44,low_danger_chances_for,120.66666666666674
Ottawa Senators,9,Regular Season,2,Other,0,0,2010,1.5000000000000000,32,16,4,0.5,0.25,3867.0,1,0,0,0,82,32,low_danger_chances_for,-1.3333333333332575
